date,open,high,low,close,volume
2026-08-20,236.0000,237.5000,233.0300,233.6900,4028353
2026-08-19,232.2600,238.6150,230.5100,237.1600,5342567
2026-08-18,229.7300,234.4499,229.4150,232.6700,4650116
2026-08-17,231.5900,233.6500,227.4000,228.8500,7564317
2026-08-14,238.3700,239.1500,233.7300,234.3200,4523467
2026-08-13,238.9200,239.7100,233.6100,237.1400,5395192
2026-08-12,236.9500,237.4600,231.6800,235.9800,5696182
2026-08-11,236.3100,241.8000,235.4400,238.4200,4468987
2026-08-10,235.0000,240.7350,234.1300,236.3100,7348858
2026-08-07,235.3800,237.3150,232.7200,237.2800,4763304
2026-08-06,229.6100,234.4700,228.4400,233.4300,4250062
2026-08-05,236.1000,238.9627,233.4600,235.9200,5726854
2026-08-04,224.7600,235.3100,223.3000,235.1500,7537896
2026-08-03,228.3300,228.5500,224.8700,226.3100,7974681
