symbol,security,gics_sector,headquarters,date_added,cik
MMM,3M,Industrials,"Saint Paul, Minnesota",1957-03-04,0000066740
AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",2017-07-26,0000091142
ABT,Abbott Laboratories,Health Care,"North Chicago, Illinois",1957-03-04,0000001800
ABBV,AbbVie,Health Care,"North Chicago, Illinois",2012-12-31,0001551152
ACN,Accenture,Information Technology,"Dublin, Ireland",2011-07-06,0001467373
ADBE,Adobe Inc.,Information Technology,"San Jose, California",1997-05-05,0000796343
AMD,Advanced Micro Devices,Information Technology,"Santa Clara, California",2017-03-20,0000002488
AES,AES Corporation,Utilities,"Arlington, Virginia",1998-10-02,0000874761
AFL,Aflac,Financials,"Columbus, Georgia",1999-05-28,0000004977
A,Agilent Technologies,Health Care,"Santa Clara, California",2000-06-05,0001090872
